iterations,theta_1,theta_2,theta_3,phi_1,phi_2,phi_3,p_x,p_y,p_z
77,-0.483937,-0.694240,-0.465714,0.470366,0.537561,-0.131812,-1.879843,-6.773621,203.900000
78,-0.486623,-0.698824,-0.467175,0.476475,0.544543,-0.135402,-1.950631,-6.927882,204.600000
79,-0.489339,-0.703397,-0.468644,0.482584,0.551524,-0.139046,-2.023369,-7.082895,205.300000
80,-0.492084,-0.707958,-0.470122,0.488692,0.558505,-0.142744,-2.098090,-7.238608,206.000000
81,-0.494859,-0.712505,-0.471608,0.494801,0.565487,-0.146497,-2.174826,-7.394968,206.700000
82,-0.497664,-0.717038,-0.473104,0.500909,0.572468,-0.150304,-2.253610,-7.551921,207.400000
83,-0.500499,-0.721557,-0.474609,0.507018,0.579449,-0.154166,-2.334474,-7.709414,208.100000
84,-0.503364,-0.726061,-0.476123,0.513127,0.586431,-0.158083,-2.417450,-7.867391,208.800000
85,-0.506259,-0.730549,-0.477648,0.519235,0.593412,-0.162056,-2.502570,-8.025796,209.500000
86,-0.509185,-0.735021,-0.479183,0.525344,0.600393,-0.166085,-2.589866,-8.184571,210.200000
87,-0.512141,-0.739476,-0.480729,0.531453,0.607375,-0.170169,-2.679369,-8.343660,210.900000
88,-0.515128,-0.743914,-0.482286,0.537561,0.614356,-0.174310,-2.771110,-8.503002,211.600000
89,-0.518146,-0.748333,-0.483855,0.543670,0.621337,-0.178508,-2.865121,-8.662538,212.300000
90,-0.521194,-0.752734,-0.485436,0.549779,0.628319,-0.182763,-2.961431,-8.822208,213.000000
91,-0.524273,-0.757116,-0.487028,0.555887,0.635300,-0.187075,-3.060071,-8.981949,213.700000
92,-0.527383,-0.761478,-0.488634,0.561996,0.642281,-0.191445,-3.161071,-9.141698,214.400000
93,-0.530524,-0.765819,-0.490253,0.568105,0.649262,-0.195873,-3.264459,-9.301393,215.100000
94,-0.533696,-0.770139,-0.491885,0.574213,0.656244,-0.200360,-3.370266,-9.460968,215.800000
95,-0.536899,-0.774437,-0.493531,0.580322,0.663225,-0.204904,-3.478519,-9.620358,216.500000
96,-0.540133,-0.778713,-0.495191,0.586431,0.670206,-0.209508,-3.589246,-9.779496,217.200000
97,-0.543399,-0.782965,-0.496865,0.592539,0.677188,-0.214171,-3.702474,-9.938315,217.900000
98,-0.546695,-0.787195,-0.498555,0.598648,0.684169,-0.218894,-3.818231,-10.096747,218.600000
99,-0.550022,-0.791399,-0.500260,0.604757,0.691150,-0.223676,-3.936542,-10.254721,219.300000
100,-0.553381,-0.795579,-0.501981,0.610865,0.698132,-0.228519,-4.057433,-10.412168,220.000000
