iterations,theta_1,theta_2,theta_3,phi_1,phi_2,phi_3,p_x,p_y,p_z
88,-0.582868,-0.825596,-0.568475,0.537561,0.614356,-0.17431,-2.77111,-8.503002,238
89,-0.58648,-0.83116,-0.571212,0.54367,0.621337,-0.178508,-2.865121,-8.662538,239
90,-0.590117,-0.836717,-0.573967,0.549779,0.628319,-0.182763,-2.961431,-8.822208,240
91,-0.59378,-0.842264,-0.57674,0.555887,0.6353,-0.187075,-3.060071,-8.981949,241
92,-0.597468,-0.847802,-0.579531,0.561996,0.642281,-0.191445,-3.161071,-9.141698,242
93,-0.601183,-0.85333,-0.582342,0.568105,0.649262,-0.195873,-3.264459,-9.301393,243
94,-0.604924,-0.858848,-0.585173,0.574213,0.656244,-0.20036,-3.370266,-9.460968,244
95,-0.608692,-0.864356,-0.588023,0.580322,0.663225,-0.204904,-3.478519,-9.620358,245
96,-0.612485,-0.869852,-0.590894,0.586431,0.670206,-0.209508,-3.589246,-9.779496,246
97,-0.616305,-0.875338,-0.593785,0.592539,0.677188,-0.214171,-3.702474,-9.938315,247
98,-0.620151,-0.880811,-0.596699,0.598648,0.684169,-0.218894,-3.818231,-10.096747,248
99,-0.624023,-0.886272,-0.599634,0.604757,0.69115,-0.223676,-3.936542,-10.254721,249
100,-0.627922,-0.891721,-0.602591,0.610865,0.698132,-0.228519,-4.057433,-10.412168,250
