iterations,theta_1,theta_2,theta_3,phi_1,phi_2,phi_3,p_x,p_y,p_z
0,0.075374,0.075374,0.075374,0.000000,0.000000,-0.000000,0.000000,-0.000000,30.000000
1,0.073241,0.066368,0.071056,0.006109,0.006981,-0.000021,-0.000171,-0.001279,30.700000
2,0.071030,0.057602,0.066910,0.012217,0.013963,-0.000085,-0.000686,-0.005117,31.400000
3,0.068744,0.049050,0.062928,0.018326,0.020944,-0.000192,-0.001544,-0.011513,32.100000
4,0.066383,0.040691,0.059100,0.024435,0.027925,-0.000341,-0.002748,-0.020465,32.800000
5,0.063949,0.032505,0.055418,0.030543,0.034907,-0.000533,-0.004300,-0.031971,33.500000
6,0.061444,0.024476,0.051873,0.036652,0.041888,-0.000768,-0.006202,-0.046030,34.200000
7,0.058870,0.016589,0.048460,0.042761,0.048869,-0.001045,-0.008459,-0.062637,34.900000
8,0.056227,0.008833,0.045170,0.048869,0.055851,-0.001365,-0.011073,-0.081791,35.600000
9,0.053518,0.001196,0.041998,0.054978,0.062832,-0.001728,-0.014050,-0.103486,36.300000
10,0.050742,-0.006332,0.038937,0.061087,0.069813,-0.002134,-0.017395,-0.127719,37.000000
11,0.047903,-0.013759,0.035982,0.067195,0.076794,-0.002582,-0.021114,-0.154484,37.700000
12,0.045000,-0.021094,0.033128,0.073304,0.083776,-0.003074,-0.025214,-0.183776,38.400000
13,0.042035,-0.028341,0.030370,0.079412,0.090757,-0.003608,-0.029701,-0.215588,39.100000
14,0.039008,-0.035509,0.027702,0.085521,0.097738,-0.004185,-0.034583,-0.249914,39.800000
15,0.035922,-0.042602,0.025122,0.091630,0.104720,-0.004805,-0.039869,-0.286747,40.500000
16,0.032776,-0.049626,0.022623,0.097738,0.111701,-0.005469,-0.045568,-0.326080,41.200000
17,0.029571,-0.056583,0.020204,0.103847,0.118682,-0.006175,-0.051690,-0.367902,41.900000
18,0.026310,-0.063479,0.017859,0.109956,0.125664,-0.006925,-0.058243,-0.412207,42.600000
19,0.022991,-0.070317,0.015586,0.116064,0.132645,-0.007718,-0.065241,-0.458985,43.300000
20,0.019616,-0.077101,0.013381,0.122173,0.139626,-0.008554,-0.072692,-0.508225,44.000000
21,0.016187,-0.083832,0.011241,0.128282,0.146608,-0.009433,-0.080611,-0.559917,44.700000
22,0.012702,-0.090514,0.009163,0.134390,0.153589,-0.010356,-0.089008,-0.614051,45.400000
