iterations,theta_1,theta_2,theta_3,phi_1,phi_2,phi_3,p_x,p_y,p_z
0,0.075374,0.075374,0.075374,0,0,0,0,0,30
1,0.073241,0.066368,0.071056,0.006109,0.006981,-0.000021,-0.000171,-0.001279,30.7
2,0.07103,0.057602,0.06691,0.012217,0.013963,-0.000085,-0.000686,-0.005117,31.4
3,0.068744,0.04905,0.062928,0.018326,0.020944,-0.000192,-0.001544,-0.011513,32.1
4,0.066383,0.040691,0.0591,0.024435,0.027925,-0.000341,-0.002748,-0.020465,32.8
5,0.063949,0.032505,0.055418,0.030543,0.034907,-0.000533,-0.0043,-0.031971,33.5
6,0.061444,0.024476,0.051873,0.036652,0.041888,-0.000768,-0.006202,-0.04603,34.2
7,0.05887,0.016589,0.04846,0.042761,0.048869,-0.001045,-0.008459,-0.062637,34.9
8,0.056227,0.008833,0.04517,0.048869,0.055851,-0.001365,-0.011073,-0.081791,35.6
9,0.053518,0.001196,0.041998,0.054978,0.062832,-0.001728,-0.01405,-0.103486,36.3
10,0.050742,-0.006332,0.038937,0.061087,0.069813,-0.002134,-0.017395,-0.127719,37
11,0.047903,-0.013759,0.035982,0.067195,0.076794,-0.002582,-0.021114,-0.154484,37.7
12,0.045,-0.021094,0.033128,0.073304,0.083776,-0.003074,-0.025214,-0.183776,38.4
13,0.042035,-0.028341,0.03037,0.079412,0.090757,-0.003608,-0.029701,-0.215588,39.1
14,0.039008,-0.035509,0.027702,0.085521,0.097738,-0.004185,-0.034583,-0.249914,39.8
15,0.035922,-0.042602,0.025122,0.09163,0.10472,-0.004805,-0.039869,-0.286747,40.5
16,0.032776,-0.049626,0.022623,0.097738,0.111701,-0.005469,-0.045568,-0.32608,41.2
17,0.029571,-0.056583,0.020204,0.103847,0.118682,-0.006175,-0.05169,-0.367902,41.9
18,0.02631,-0.063479,0.017859,0.109956,0.125664,-0.006925,-0.058243,-0.412207,42.6
19,0.022991,-0.070317,0.015586,0.116064,0.132645,-0.007718,-0.065241,-0.458985,43.3
20,0.019616,-0.077101,0.013381,0.122173,0.139626,-0.008554,-0.072692,-0.508225,44
21,0.016187,-0.083832,0.011241,0.128282,0.146608,-0.009433,-0.080611,-0.559917,44.7
22,0.012702,-0.090514,0.009163,0.13439,0.153589,-0.010356,-0.089008,-0.614051,45.4
23,0.009164,-0.097148,0.007145,0.140499,0.16057,-0.011323,-0.097899,-0.670614,46.1
24,0.005572,-0.103738,0.005183,0.146608,0.167552,-0.012333,-0.107295,-0.729595,46.8
