iterations,theta_1,theta_2,theta_3,phi_1,phi_2,phi_3,p_x,p_y,p_z
0,-0.354098,-0.354098,-0.354098,0,0,0,0,0,150
1,-0.354345,-0.355359,-0.356962,-0.005236,0.006981,0.000018,-0.00032,0.001097,150.5
2,-0.354616,-0.356606,-0.35986,-0.010472,0.013963,0.000073,-0.00128,0.004386,151
3,-0.35491,-0.35784,-0.362793,-0.015708,0.020944,0.000165,-0.00288,0.009868,151.5
4,-0.355227,-0.35906,-0.36576,-0.020944,0.027925,0.000292,-0.005122,0.017541,152
5,-0.355568,-0.360266,-0.368759,-0.02618,0.034907,0.000457,-0.008007,0.027403,152.5
6,-0.355932,-0.36146,-0.371791,-0.031416,0.041888,0.000658,-0.011538,0.039453,153
7,-0.356321,-0.362641,-0.374854,-0.036652,0.048869,0.000896,-0.015716,0.053687,153.5
8,-0.356733,-0.36381,-0.377948,-0.041888,0.055851,0.00117,-0.020544,0.070103,154
9,-0.357168,-0.364966,-0.381072,-0.047124,0.062832,0.001481,-0.026026,0.088697,154.5
10,-0.357628,-0.366111,-0.384225,-0.05236,0.069813,0.001829,-0.032165,0.109465,155
11,-0.358111,-0.367243,-0.387407,-0.057596,0.076794,0.002213,-0.038965,0.132402,155.5
12,-0.358618,-0.368364,-0.390617,-0.062832,0.083776,0.002634,-0.046431,0.157503,156
13,-0.35915,-0.369474,-0.393853,-0.068068,0.090757,0.003092,-0.054568,0.184764,156.5
14,-0.359705,-0.370573,-0.397117,-0.073304,0.097738,0.003587,-0.063381,0.214178,157
15,-0.360284,-0.371661,-0.400405,-0.07854,0.10472,0.004118,-0.072876,0.245738,157.5
16,-0.360888,-0.372738,-0.403719,-0.083776,0.111701,0.004687,-0.083059,0.279438,158
17,-0.361516,-0.373805,-0.407058,-0.089012,0.118682,0.005292,-0.093936,0.31527,158.5
18,-0.362169,-0.374861,-0.41042,-0.094248,0.125664,0.005934,-0.105516,0.353227,159
19,-0.362845,-0.375908,-0.413805,-0.099484,0.132645,0.006613,-0.117804,0.3933,159.5
20,-0.363547,-0.376945,-0.417212,-0.10472,0.139626,0.007329,-0.13081,0.435479,160
21,-0.364273,-0.377973,-0.420641,-0.109956,0.146608,0.008083,-0.144541,0.479757,160.5
22,-0.365024,-0.378991,-0.424092,-0.115192,0.153589,0.008873,-0.159006,0.526123,161
23,-0.3658,-0.38,-0.427562,-0.120428,0.16057,0.009701,-0.174214,0.574566,161.5
24,-0.366601,-0.381001,-0.431053,-0.125664,0.167552,0.010566,-0.190175,0.625076,162
25,-0.367427,-0.381993,-0.434562,-0.1309,0.174533,0.011468,-0.206898,0.677641,162.5
26,-0.368278,-0.382976,-0.43809,-0.136136,0.181514,0.012408,-0.224394,0.73225,163
27,-0.369154,-0.383952,-0.441636,-0.141372,0.188496,0.013386,-0.242673,0.78889,163.5
28,-0.370056,-0.38492,-0.4452,-0.146608,0.195477,0.014401,-0.261747,0.847549,164
29,-0.370983,-0.38588,-0.44878,-0.151844,0.202458,0.015453,-0.281627,0.908213,164.5
30,-0.371936,-0.386833,-0.452376,-0.15708,0.20944,0.016543,-0.302324,0.970868,165
31,-0.372915,-0.387778,-0.455987,-0.162316,0.216421,0.017671,-0.323852,1.035501,165.5
32,-0.37392,-0.388717,-0.459613,-0.167552,0.223402,0.018837,-0.346221,1.102095,166
33,-0.374951,-0.389648,-0.463254,-0.172788,0.230383,0.020041,-0.369447,1.170636,166.5
34,-0.376008,-0.390574,-0.466908,-0.178024,0.237365,0.021283,-0.39354,1.241108,167
35,-0.377091,-0.391493,-0.470575,-0.18326,0.244346,0.022564,-0.418517,1.313495,167.5
36,-0.378201,-0.392406,-0.474255,-0.188496,0.251327,0.023882,-0.444389,1.387779,168
37,-0.379337,-0.393313,-0.477946,-0.193732,0.258309,0.025239,-0.471173,1.463943,168.5
38,-0.3805,-0.394215,-0.481649,-0.198968,0.26529,0.026634,-0.498882,1.54197,169
39,-0.38169,-0.395112,-0.485362,-0.204204,0.272271,0.028068,-0.527531,1.62184,169.5
40,-0.382908,-0.396003,-0.489086,-0.20944,0.279253,0.029541,-0.557137,1.703534,170
41,-0.384152,-0.39689,-0.492818,-0.214675,0.286234,0.031052,-0.587714,1.787034,170.5
42,-0.385423,-0.397772,-0.49656,-0.219911,0.293215,0.032602,-0.619278,1.872319,171
43,-0.386722,-0.39865,-0.500311,-0.225147,0.300197,0.034192,-0.651847,1.959368,171.5
44,-0.388049,-0.399523,-0.504069,-0.230383,0.307178,0.03582,-0.685436,2.04816,172
45,-0.389403,-0.400393,-0.507834,-0.235619,0.314159,0.037488,-0.720063,2.138673,172.5
46,-0.390786,-0.401259,-0.511606,-0.240855,0.321141,0.039195,-0.755745,2.230885,173
47,-0.392196,-0.402122,-0.515384,-0.246091,0.328122,0.040941,-0.792499,2.324774,173.5
48,-0.393634,-0.402981,-0.519168,-0.251327,0.335103,0.042728,-0.830344,2.420315,174
49,-0.395101,-0.403838,-0.522957,-0.256563,0.342085,0.044554,-0.869297,2.517486,174.5
50,-0.396597,-0.404692,-0.52675,-0.261799,0.349066,0.046419,-0.909377,2.61626,175
51,-0.398121,-0.405544,-0.530547,-0.267035,0.356047,0.048325,-0.950603,2.716614,175.5
52,-0.399674,-0.406393,-0.534347,-0.272271,0.363028,0.050272,-0.992993,2.818522,176
53,-0.401256,-0.407241,-0.53815,-0.277507,0.37001,0.052258,-1.036567,2.921956,176.5
54,-0.402867,-0.408086,-0.541955,-0.282743,0.376991,0.054285,-1.081343,3.026891,177
55,-0.404508,-0.408931,-0.545762,-0.287979,0.383972,0.056353,-1.127342,3.133299,177.5
56,-0.406178,-0.409774,-0.54957,-0.293215,0.390954,0.058461,-1.174584,3.241152,178
57,-0.407877,-0.410617,-0.553379,-0.298451,0.397935,0.06061,-1.223088,3.350422,178.5
58,-0.409607,-0.411459,-0.557187,-0.303687,0.404916,0.062801,-1.272875,3.461079,179
59,-0.411366,-0.4123,-0.560995,-0.308923,0.411898,0.065033,-1.323965,3.573093,179.5
60,-0.413155,-0.413142,-0.564802,-0.314159,0.418879,0.067306,-1.37638,3.686434,180
61,-0.414975,-0.413983,-0.568607,-0.319395,0.42586,0.069621,-1.430138,3.801072,180.5
62,-0.416825,-0.414825,-0.572411,-0.324631,0.432842,0.071977,-1.485263,3.916974,181
63,-0.418705,-0.415668,-0.576211,-0.329867,0.439823,0.074376,-1.541775,4.034108,181.5
64,-0.420616,-0.416511,-0.580008,-0.335103,0.446804,0.076816,-1.599694,4.152441,182
65,-0.422558,-0.417356,-0.583801,-0.340339,0.453786,0.079299,-1.659044,4.271941,182.5
66,-0.424531,-0.418203,-0.58759,-0.345575,0.460767,0.081825,-1.719844,4.392572,183
67,-0.426535,-0.419051,-0.591373,-0.350811,0.467748,0.084393,-1.782117,4.5143,183.5
68,-0.42857,-0.419901,-0.595152,-0.356047,0.47473,0.087004,-1.845885,4.63709,184
69,-0.430637,-0.420753,-0.598924,-0.361283,0.481711,0.089658,-1.911169,4.760906,184.5
70,-0.432735,-0.421609,-0.60269,-0.366519,0.488692,0.092355,-1.977992,4.885711,185
71,-0.434865,-0.422467,-0.606448,-0.371755,0.495674,0.095095,-2.046375,5.011467,185.5
72,-0.437027,-0.423328,-0.610199,-0.376991,0.502655,0.09788,-2.11634,5.138138,186
73,-0.43922,-0.424192,-0.613942,-0.382227,0.509636,0.100708,-2.187909,5.265684,186.5
74,-0.441446,-0.425061,-0.617676,-0.387463,0.516617,0.10358,-2.261106,5.394065,187
75,-0.443704,-0.425933,-0.6214,-0.392699,0.523599,0.106496,-2.33595,5.523243,187.5
