iterations,theta_1,theta_2,theta_3,phi_1,phi_2,phi_3,p_x,p_y,p_z
1159,-0.587061,-0.536842,-0.906953,2.349580,2.460474,-2.847416,-1.760769,13.515270,237.593280
1160,-0.586929,-0.536941,-0.906765,2.350273,2.461200,-2.848032,-1.747340,13.495711,237.604369
1161,-0.587001,-0.536887,-0.906868,2.349894,2.460803,-2.847695,-1.754685,13.506418,237.598299
1162,-0.587264,-0.536693,-0.907237,2.348526,2.459371,-2.846478,-1.781259,13.544988,237.576419
1163,-0.587698,-0.536376,-0.907838,2.346290,2.457029,-2.844481,-1.825036,13.607974,237.540637
1164,-0.588282,-0.535959,-0.908625,2.343335,2.453934,-2.841830,-1.883493,13.691026,237.493355
1165,-0.588988,-0.535467,-0.909547,2.339836,2.450271,-2.838673,-1.953595,13.789074,237.437381
1166,-0.589782,-0.534928,-0.910549,2.335989,2.446242,-2.835179,-2.031811,13.896533,237.375832
1167,-0.590625,-0.534373,-0.911575,2.332001,2.442066,-2.831532,-2.114157,14.007529,237.312021
1168,-0.591474,-0.533831,-0.912569,2.328084,2.437964,-2.827925,-2.196291,14.116129,237.249343
1169,-0.592280,-0.533331,-0.913480,2.324447,2.434155,-2.824554,-2.273658,14.216561,237.191152
1170,-0.592993,-0.532899,-0.914260,2.321290,2.430849,-2.821610,-2.341685,14.303414,237.140643
1171,-0.593566,-0.532560,-0.914871,2.318796,2.428238,-2.819273,-2.396004,14.371814,237.100739
1172,-0.593955,-0.532333,-0.915277,2.317124,2.426487,-2.817701,-2.432705,14.417560,237.073987
1173,-0.594123,-0.532235,-0.915451,2.316404,2.425733,-2.817022,-2.448578,14.437229,237.062469
1174,-0.594046,-0.532280,-0.915372,2.316733,2.426077,-2.817332,-2.441329,14.428256,237.067725
1175,-0.593711,-0.532475,-0.915023,2.318169,2.427581,-2.818684,-2.409745,14.388985,237.090704
1176,-0.593120,-0.532823,-0.914397,2.320733,2.430266,-2.821089,-2.353781,14.318718,237.131725
1177,-0.592289,-0.533325,-0.913490,2.324404,2.434110,-2.824514,-2.274574,14.217738,237.190469
