iterations,theta_1,theta_2,theta_3,phi_1,phi_2,phi_3,p_x,p_y,p_z
0,-0.65697,-0.65697,-0.65697,0,0,0,0,0,250
1,-0.657242,-0.660351,-0.65825,0.006109,0.006981,-0.000021,-0.000171,-0.001279,250.5
2,-0.657527,-0.663765,-0.659524,0.012217,0.013963,-0.000085,-0.000686,-0.005117,251
3,-0.657826,-0.667213,-0.66079,0.018326,0.020944,-0.000192,-0.001544,-0.011513,251.5
4,-0.658137,-0.670694,-0.662049,0.024435,0.027925,-0.000341,-0.002748,-0.020465,252
5,-0.658461,-0.674208,-0.663301,0.030543,0.034907,-0.000533,-0.0043,-0.031971,252.5
6,-0.658799,-0.677753,-0.664548,0.036652,0.041888,-0.000768,-0.006202,-0.04603,253
7,-0.65915,-0.68133,-0.665787,0.042761,0.048869,-0.001045,-0.008459,-0.062637,253.5
8,-0.659515,-0.684939,-0.667021,0.048869,0.055851,-0.001365,-0.011073,-0.081791,254
9,-0.659892,-0.688578,-0.668249,0.054978,0.062832,-0.001728,-0.01405,-0.103486,254.5
10,-0.660284,-0.692248,-0.669472,0.061087,0.069813,-0.002134,-0.017395,-0.127719,255
11,-0.660689,-0.695948,-0.670689,0.067195,0.076794,-0.002582,-0.021114,-0.154484,255.5
12,-0.661108,-0.699677,-0.6719,0.073304,0.083776,-0.003074,-0.025214,-0.183776,256
13,-0.661541,-0.703434,-0.673107,0.079412,0.090757,-0.003608,-0.029701,-0.215588,256.5
14,-0.661987,-0.707221,-0.674309,0.085521,0.097738,-0.004185,-0.034583,-0.249914,257
15,-0.662448,-0.711036,-0.675506,0.09163,0.10472,-0.004805,-0.039869,-0.286747,257.5
16,-0.662923,-0.714878,-0.676699,0.097738,0.111701,-0.005469,-0.045568,-0.32608,258
17,-0.663412,-0.718747,-0.677888,0.103847,0.118682,-0.006175,-0.05169,-0.367902,258.5
18,-0.663915,-0.722644,-0.679073,0.109956,0.125664,-0.006925,-0.058243,-0.412207,259
19,-0.664433,-0.726566,-0.680254,0.116064,0.132645,-0.007718,-0.065241,-0.458985,259.5
20,-0.664965,-0.730514,-0.681431,0.122173,0.139626,-0.008554,-0.072692,-0.508225,260
21,-0.665512,-0.734488,-0.682605,0.128282,0.146608,-0.009433,-0.080611,-0.559917,260.5
22,-0.666074,-0.738487,-0.683776,0.13439,0.153589,-0.010356,-0.089008,-0.614051,261
23,-0.666651,-0.74251,-0.684944,0.140499,0.16057,-0.011323,-0.097899,-0.670614,261.5
24,-0.667244,-0.746557,-0.686109,0.146608,0.167552,-0.012333,-0.107295,-0.729595,262
25,-0.667851,-0.750628,-0.687271,0.152716,0.174533,-0.013387,-0.117212,-0.79098,262.5
26,-0.668474,-0.754722,-0.688432,0.158825,0.181514,-0.014484,-0.127664,-0.854757,263
27,-0.669112,-0.758839,-0.68959,0.164934,0.188496,-0.015626,-0.138667,-0.920912,263.5
28,-0.669766,-0.762978,-0.690746,0.171042,0.195477,-0.016811,-0.150236,-0.98943,264
29,-0.670435,-0.767139,-0.6919,0.177151,0.202458,-0.018041,-0.16239,-1.060297,264.5
30,-0.671121,-0.771321,-0.693053,0.18326,0.20944,-0.019315,-0.175144,-1.133496,265
31,-0.671823,-0.775524,-0.694205,0.189368,0.216421,-0.020633,-0.188516,-1.209011,265.5
32,-0.672541,-0.779747,-0.695355,0.195477,0.223402,-0.021995,-0.202525,-1.286827,266
33,-0.673275,-0.783991,-0.696505,0.201586,0.230383,-0.023402,-0.217189,-1.366925,266.5
34,-0.674026,-0.788254,-0.697654,0.207694,0.237365,-0.024854,-0.232528,-1.449288,267
35,-0.674794,-0.792536,-0.698803,0.213803,0.244346,-0.026351,-0.248562,-1.533896,267.5
36,-0.675578,-0.796836,-0.699951,0.219911,0.251327,-0.027892,-0.265311,-1.620732,268
37,-0.67638,-0.801155,-0.701099,0.22602,0.258309,-0.029478,-0.282795,-1.709775,268.5
38,-0.677199,-0.805492,-0.702248,0.232129,0.26529,-0.03111,-0.301037,-1.801004,269
39,-0.678036,-0.809845,-0.703397,0.238237,0.272271,-0.032787,-0.320058,-1.8944,269.5
40,-0.67889,-0.814216,-0.704546,0.244346,0.279253,-0.034509,-0.339881,-1.989939,270
41,-0.679761,-0.818603,-0.705697,0.250455,0.286234,-0.036277,-0.360528,-2.087601,270.5
42,-0.680651,-0.823006,-0.706848,0.256563,0.293215,-0.038091,-0.382023,-2.187362,271
43,-0.681559,-0.827424,-0.708001,0.262672,0.300197,-0.03995,-0.404389,-2.289199,271.5
44,-0.682485,-0.831857,-0.709155,0.268781,0.307178,-0.041856,-0.427652,-2.393087,272
45,-0.68343,-0.836305,-0.710311,0.274889,0.314159,-0.043807,-0.451835,-2.499001,272.5
46,-0.684393,-0.840767,-0.711469,0.280998,0.321141,-0.045806,-0.476964,-2.606917,273
47,-0.685375,-0.845243,-0.712629,0.287107,0.328122,-0.04785,-0.503065,-2.716809,273.5
48,-0.686377,-0.849731,-0.713792,0.293215,0.335103,-0.049942,-0.530164,-2.828648,274
49,-0.687398,-0.854232,-0.714957,0.299324,0.342085,-0.05208,-0.558286,-2.942408,274.5
50,-0.688438,-0.858746,-0.716125,0.305433,0.349066,-0.054265,-0.58746,-3.058062,275
51,-0.689498,-0.863271,-0.717296,0.311541,0.356047,-0.056498,-0.617712,-3.175579,275.5
52,-0.690577,-0.867808,-0.718471,0.31765,0.363028,-0.058778,-0.64907,-3.29493,276
