iterations,theta_1,theta_2,theta_3,phi_1,phi_2,phi_3,p_x,p_y,p_z
0,-0.354098,-0.354098,-0.354098,0,0,0,0,0,150
1,-0.355795,-0.356809,-0.358411,-0.005236,0.006981,0.000018,-0.00032,0.001097,151
2,-0.357514,-0.359506,-0.362759,-0.010472,0.013963,0.000073,-0.00128,0.004386,152
3,-0.359257,-0.36219,-0.367142,-0.015708,0.020944,0.000165,-0.00288,0.009868,153
4,-0.361023,-0.364861,-0.371558,-0.020944,0.027925,0.000292,-0.005122,0.017541,154
5,-0.362812,-0.36752,-0.376007,-0.02618,0.034907,0.000457,-0.008007,0.027403,155
6,-0.364623,-0.370167,-0.380488,-0.031416,0.041888,0.000658,-0.011538,0.039453,156
7,-0.366457,-0.372803,-0.385,-0.036652,0.048869,0.000896,-0.015716,0.053687,157
8,-0.368313,-0.375427,-0.389542,-0.041888,0.055851,0.00117,-0.020544,0.070103,158
9,-0.370191,-0.378041,-0.394114,-0.047124,0.062832,0.001481,-0.026026,0.088697,159
10,-0.372091,-0.380645,-0.398714,-0.05236,0.069813,0.001829,-0.032165,0.109465,160
11,-0.374014,-0.383239,-0.403343,-0.057596,0.076794,0.002213,-0.038965,0.132402,161
12,-0.375958,-0.385824,-0.407999,-0.062832,0.083776,0.002634,-0.046431,0.157503,162
13,-0.377924,-0.388399,-0.412681,-0.068068,0.090757,0.003092,-0.054568,0.184764,163
14,-0.379911,-0.390966,-0.417389,-0.073304,0.097738,0.003587,-0.063381,0.214178,164
15,-0.38192,-0.393524,-0.422122,-0.07854,0.10472,0.004118,-0.072876,0.245738,165
16,-0.383951,-0.396075,-0.42688,-0.083776,0.111701,0.004687,-0.083059,0.279438,166
17,-0.386002,-0.398618,-0.431661,-0.089012,0.118682,0.005292,-0.093936,0.31527,167
18,-0.388075,-0.401153,-0.436466,-0.094248,0.125664,0.005934,-0.105516,0.353227,168
19,-0.390169,-0.403682,-0.441293,-0.099484,0.132645,0.006613,-0.117804,0.3933,169
20,-0.392285,-0.406204,-0.446143,-0.10472,0.139626,0.007329,-0.13081,0.435479,170
21,-0.394421,-0.408721,-0.451013,-0.109956,0.146608,0.008083,-0.144541,0.479757,171
22,-0.396578,-0.411231,-0.455905,-0.115192,0.153589,0.008873,-0.159006,0.526123,172
23,-0.398756,-0.413735,-0.460817,-0.120428,0.16057,0.009701,-0.174214,0.574566,173
24,-0.400955,-0.416235,-0.465748,-0.125664,0.167552,0.010566,-0.190175,0.625076,174
25,-0.403175,-0.41873,-0.470699,-0.1309,0.174533,0.011468,-0.206898,0.677641,175
26,-0.405416,-0.42122,-0.475668,-0.136136,0.181514,0.012408,-0.224394,0.73225,176
27,-0.407677,-0.423706,-0.480655,-0.141372,0.188496,0.013386,-0.242673,0.78889,177
28,-0.409959,-0.426188,-0.48566,-0.146608,0.195477,0.014401,-0.261747,0.847549,178
29,-0.412262,-0.428667,-0.490681,-0.151844,0.202458,0.015453,-0.281627,0.908213,179
30,-0.414585,-0.431143,-0.49572,-0.15708,0.20944,0.016543,-0.302324,0.970868,180
31,-0.416929,-0.433616,-0.500774,-0.162316,0.216421,0.017671,-0.323852,1.035501,181
32,-0.419294,-0.436086,-0.505844,-0.167552,0.223402,0.018837,-0.346221,1.102095,182
33,-0.421679,-0.438554,-0.510929,-0.172788,0.230383,0.020041,-0.369447,1.170636,183
34,-0.424085,-0.44102,-0.516028,-0.178024,0.237365,0.021283,-0.39354,1.241108,184
35,-0.426511,-0.443485,-0.521142,-0.18326,0.244346,0.022564,-0.418517,1.313495,185
36,-0.428958,-0.445948,-0.526269,-0.188496,0.251327,0.023882,-0.444389,1.387779,186
37,-0.431426,-0.448411,-0.531409,-0.193732,0.258309,0.025239,-0.471173,1.463943,187
38,-0.433914,-0.450873,-0.536562,-0.198968,0.26529,0.026634,-0.498882,1.54197,188
39,-0.436423,-0.453335,-0.541728,-0.204204,0.272271,0.028068,-0.527531,1.62184,189
40,-0.438952,-0.455796,-0.546905,-0.20944,0.279253,0.029541,-0.557137,1.703534,190
41,-0.441502,-0.458259,-0.552094,-0.214675,0.286234,0.031052,-0.587714,1.787034,191
42,-0.444073,-0.460721,-0.557294,-0.219911,0.293215,0.032602,-0.619278,1.872319,192
43,-0.446665,-0.463185,-0.562504,-0.225147,0.300197,0.034192,-0.651847,1.959368,193
44,-0.449277,-0.46565,-0.567725,-0.230383,0.307178,0.03582,-0.685436,2.04816,194
45,-0.45191,-0.468117,-0.572955,-0.235619,0.314159,0.037488,-0.720063,2.138673,195
46,-0.454563,-0.470586,-0.578195,-0.240855,0.321141,0.039195,-0.755745,2.230885,196
47,-0.457238,-0.473057,-0.583444,-0.246091,0.328122,0.040941,-0.792499,2.324774,197
48,-0.459933,-0.47553,-0.588702,-0.251327,0.335103,0.042728,-0.830344,2.420315,198
49,-0.462649,-0.478006,-0.593967,-0.256563,0.342085,0.044554,-0.869297,2.517486,199
50,-0.465386,-0.480486,-0.599241,-0.261799,0.349066,0.046419,-0.909377,2.61626,200
51,-0.468144,-0.482969,-0.604522,-0.267035,0.356047,0.048325,-0.950603,2.716614,201
52,-0.470923,-0.485456,-0.60981,-0.272271,0.363028,0.050272,-0.992993,2.818522,202
53,-0.473722,-0.487947,-0.615105,-0.277507,0.37001,0.052258,-1.036567,2.921956,203
54,-0.476543,-0.490442,-0.620406,-0.282743,0.376991,0.054285,-1.081343,3.026891,204
55,-0.479385,-0.492942,-0.625714,-0.287979,0.383972,0.056353,-1.127342,3.133299,205
56,-0.482249,-0.495447,-0.631027,-0.293215,0.390954,0.058461,-1.174584,3.241152,206
57,-0.485133,-0.497958,-0.636345,-0.298451,0.397935,0.06061,-1.223088,3.350422,207
58,-0.488039,-0.500474,-0.641668,-0.303687,0.404916,0.062801,-1.272875,3.461079,208
59,-0.490966,-0.502997,-0.646995,-0.308923,0.411898,0.065033,-1.323965,3.573093,209
60,-0.493914,-0.505525,-0.652327,-0.314159,0.418879,0.067306,-1.37638,3.686434,210
61,-0.496884,-0.508061,-0.657663,-0.319395,0.42586,0.069621,-1.430138,3.801072,211
62,-0.499875,-0.510603,-0.663002,-0.324631,0.432842,0.071977,-1.485263,3.916974,212
63,-0.502888,-0.513153,-0.668344,-0.329867,0.439823,0.074376,-1.541775,4.034108,213
64,-0.505922,-0.51571,-0.67369,-0.335103,0.446804,0.076816,-1.599694,4.152441,214
65,-0.508978,-0.518276,-0.679037,-0.340339,0.453786,0.079299,-1.659044,4.271941,215
66,-0.512056,-0.520849,-0.684387,-0.345575,0.460767,0.081825,-1.719844,4.392572,216
67,-0.515155,-0.523431,-0.689739,-0.350811,0.467748,0.084393,-1.782117,4.5143,217
68,-0.518276,-0.526023,-0.695092,-0.356047,0.47473,0.087004,-1.845885,4.63709,218
69,-0.521419,-0.528623,-0.700447,-0.361283,0.481711,0.089658,-1.911169,4.760906,219
70,-0.524584,-0.531234,-0.705802,-0.366519,0.488692,0.092355,-1.977992,4.885711,220
71,-0.527771,-0.533854,-0.711158,-0.371755,0.495674,0.095095,-2.046375,5.011467,221
72,-0.53098,-0.536484,-0.716514,-0.376991,0.502655,0.09788,-2.11634,5.138138,222
73,-0.534211,-0.539125,-0.72187,-0.382227,0.509636,0.100708,-2.187909,5.265684,223
74,-0.537465,-0.541778,-0.727225,-0.387463,0.516617,0.10358,-2.261106,5.394065,224
75,-0.54074,-0.544441,-0.73258,-0.392699,0.523599,0.106496,-2.33595,5.523243,225
76,-0.544038,-0.547116,-0.737934,-0.397935,0.53058,0.109457,-2.412466,5.653176,226
77,-0.547358,-0.549804,-0.743286,-0.403171,0.537561,0.112462,-2.490674,5.783824,227
78,-0.5507,-0.552504,-0.748637,-0.408407,0.544543,0.115513,-2.570597,5.915143,228
79,-0.554065,-0.555216,-0.753985,-0.413643,0.551524,0.118608,-2.652256,6.047092,229
80,-0.557452,-0.557942,-0.759332,-0.418879,0.558505,0.121749,-2.735675,6.179628,230
81,-0.560862,-0.560681,-0.764676,-0.424115,0.565487,0.124935,-2.820874,6.312706,231
82,-0.564295,-0.563434,-0.770016,-0.429351,0.572468,0.128167,-2.907875,6.446281,232
83,-0.56775,-0.566201,-0.775354,-0.434587,0.579449,0.131445,-2.9967,6.580309,233
84,-0.571227,-0.568983,-0.780688,-0.439823,0.586431,0.134769,-3.087371,6.714743,234
85,-0.574728,-0.57178,-0.786019,-0.445059,0.593412,0.138139,-3.179909,6.849537,235
86,-0.578251,-0.574592,-0.791345,-0.450295,0.600393,0.141557,-3.274334,6.984642,236
87,-0.581797,-0.57742,-0.796667,-0.455531,0.607375,0.145021,-3.370669,7.120011,237
88,-0.585366,-0.580264,-0.801984,-0.460767,0.614356,0.148532,-3.468933,7.255595,238
89,-0.588958,-0.583124,-0.807296,-0.466003,0.621337,0.152091,-3.569147,7.391345,239
90,-0.592572,-0.586002,-0.812603,-0.471239,0.628319,0.155697,-3.671333,7.527209,240
91,-0.59621,-0.588896,-0.817904,-0.476475,0.6353,0.159352,-3.775509,7.663138,241
92,-0.59987,-0.591809,-0.8232,-0.481711,0.642281,0.163054,-3.881696,7.799079,242
93,-0.603554,-0.594739,-0.828489,-0.486947,0.649262,0.166805,-3.989913,7.934979,243
94,-0.60726,-0.597688,-0.833772,-0.492183,0.656244,0.170604,-4.100179,8.070787,244
95,-0.61099,-0.600656,-0.839048,-0.497419,0.663225,0.174452,-4.212513,8.206447,245
96,-0.614742,-0.603644,-0.844317,-0.502655,0.670206,0.17835,-4.326934,8.341905,246
97,-0.618518,-0.606651,-0.849579,-0.507891,0.677188,0.182297,-4.443459,8.477106,247
98,-0.622317,-0.609678,-0.854834,-0.513127,0.684169,0.186293,-4.562107,8.611994,248
99,-0.626139,-0.612726,-0.86008,-0.518363,0.69115,0.19034,-4.682894,8.746511,249
100,-0.629984,-0.615795,-0.865319,-0.523599,0.698132,0.194436,-4.805837,8.880601,250
