iterations,theta_1,theta_2,theta_3,phi_1,phi_2,phi_3,p_x,p_y,p_z
883,-0.509593,-1.046001,-0.560600,4.400549,2.764947,2.865748,15.125815,-15.196086,238.010981
884,-0.509540,-1.046229,-0.560829,4.401290,2.765412,2.865881,15.155828,-15.191745,238.025804
885,-0.509455,-1.046598,-0.561203,4.402492,2.766167,2.866098,15.204513,-15.184647,238.049842
886,-0.509330,-1.047136,-0.561751,4.404248,2.767271,2.866416,15.275685,-15.174145,238.084964
887,-0.509162,-1.047866,-0.562502,4.406638,2.768773,2.866852,15.372627,-15.159604,238.132768
888,-0.508946,-1.048807,-0.563480,4.409727,2.770713,2.867422,15.498012,-15.140390,238.194539
889,-0.508681,-1.049970,-0.564707,4.413561,2.773122,2.868140,15.653843,-15.115870,238.271218
890,-0.508366,-1.051360,-0.566200,4.418169,2.776017,2.869016,15.841403,-15.085414,238.363380
891,-0.508004,-1.052976,-0.567972,4.423561,2.779405,2.870061,16.061225,-15.048405,238.471218
892,-0.507597,-1.054811,-0.570033,4.429727,2.783280,2.871283,16.313069,-15.004257,238.594539
893,-0.507150,-1.056850,-0.572385,4.436638,2.787622,2.872685,16.595927,-14.952437,238.732768
894,-0.506669,-1.059072,-0.575028,4.444248,2.792403,2.874270,16.908034,-14.892504,238.884964
895,-0.506163,-1.061453,-0.577953,4.452492,2.797583,2.876037,17.246901,-14.824141,239.049842
896,-0.505638,-1.063963,-0.581146,4.461290,2.803111,2.877979,17.609372,-14.747201,239.225804
897,-0.505105,-1.066567,-0.584586,4.470549,2.808929,2.880086,17.991685,-14.661746,239.410981
898,-0.504571,-1.069232,-0.588245,4.480164,2.814970,2.882344,18.389565,-14.568079,239.603274
899,-0.504045,-1.071921,-0.592089,4.490021,2.821163,2.884734,18.798322,-14.466780,239.800411
900,-0.503535,-1.074596,-0.596075,4.500000,2.827433,2.887231,19.212967,-14.358717,240.000000
901,-0.503048,-1.077225,-0.600156,4.509979,2.833704,2.889808,19.628343,-14.245045,240.199589
902,-0.502590,-1.079773,-0.604282,4.519836,2.839897,2.892432,20.039251,-14.127197,240.396726
903,-0.502166,-1.082212,-0.608396,4.529451,2.845938,2.895067,20.440594,-14.006843,240.589019
904,-0.501778,-1.084515,-0.612441,4.538710,2.851755,2.897678,20.827507,-13.885839,240.774196
905,-0.501428,-1.086662,-0.616362,4.547508,2.857283,2.900224,21.195488,-13.766163,240.950158
906,-0.501118,-1.088636,-0.620103,4.555752,2.862463,2.902669,21.540517,-13.649829,241.115036
907,-0.500847,-1.090426,-0.623613,4.563362,2.867245,2.904978,21.859157,-13.538802,241.267232
908,-0.500614,-1.092023,-0.626849,4.570273,2.871587,2.907117,22.148643,-13.434906,241.405461
909,-0.500415,-1.093424,-0.629775,4.576439,2.875461,2.909061,22.406951,-13.339737,241.528782
910,-0.500250,-1.094632,-0.632363,4.581831,2.878849,2.910788,22.632845,-13.254586,241.636620
911,-0.500115,-1.095651,-0.634597,4.586439,2.881745,2.912285,22.825901,-13.180375,241.728782
