iterations,theta_1,theta_2,theta_3,phi_1,phi_2,phi_3,p_x,p_y,p_z
0,-0.207238,-0.207238,-0.207238,0.000000,0.000000,-0.000000,0.000000,-0.000000,100.000000
1,-0.207501,-0.210385,-0.208417,0.006109,0.006981,-0.000021,-0.000171,-0.001279,100.500000
2,-0.207795,-0.213587,-0.209574,0.012217,0.013963,-0.000085,-0.000686,-0.005117,101.000000
3,-0.208122,-0.216844,-0.210708,0.018326,0.020944,-0.000192,-0.001544,-0.011513,101.500000
4,-0.208481,-0.220153,-0.211821,0.024435,0.027925,-0.000341,-0.002748,-0.020465,102.000000
5,-0.208872,-0.223513,-0.212913,0.030543,0.034907,-0.000533,-0.004300,-0.031971,102.500000
6,-0.209295,-0.226922,-0.213985,0.036652,0.041888,-0.000768,-0.006202,-0.046030,103.000000
7,-0.209750,-0.230379,-0.215035,0.042761,0.048869,-0.001045,-0.008459,-0.062637,103.500000
8,-0.210238,-0.233882,-0.216066,0.048869,0.055851,-0.001365,-0.011073,-0.081791,104.000000
9,-0.210758,-0.237429,-0.217078,0.054978,0.062832,-0.001728,-0.014050,-0.103486,104.500000
10,-0.211311,-0.241019,-0.218070,0.061087,0.069813,-0.002134,-0.017395,-0.127719,105.000000
11,-0.211896,-0.244650,-0.219043,0.067195,0.076794,-0.002582,-0.021114,-0.154484,105.500000
12,-0.212513,-0.248322,-0.219998,0.073304,0.083776,-0.003074,-0.025214,-0.183776,106.000000
13,-0.213163,-0.252032,-0.220934,0.079412,0.090757,-0.003608,-0.029701,-0.215588,106.500000
14,-0.213846,-0.255779,-0.221853,0.085521,0.097738,-0.004185,-0.034583,-0.249914,107.000000
15,-0.214561,-0.259562,-0.222755,0.091630,0.104720,-0.004805,-0.039869,-0.286747,107.500000
16,-0.215310,-0.263380,-0.223639,0.097738,0.111701,-0.005469,-0.045568,-0.326080,108.000000
17,-0.216091,-0.267231,-0.224507,0.103847,0.118682,-0.006175,-0.051690,-0.367902,108.500000
18,-0.216906,-0.271114,-0.225358,0.109956,0.125664,-0.006925,-0.058243,-0.412207,109.000000
19,-0.217754,-0.275029,-0.226194,0.116064,0.132645,-0.007718,-0.065241,-0.458985,109.500000
20,-0.218635,-0.278972,-0.227014,0.122173,0.139626,-0.008554,-0.072692,-0.508225,110.000000
21,-0.219550,-0.282945,-0.227818,0.128282,0.146608,-0.009433,-0.080611,-0.559917,110.500000
22,-0.220499,-0.286945,-0.228608,0.134390,0.153589,-0.010356,-0.089008,-0.614051,111.000000
23,-0.221481,-0.290971,-0.229382,0.140499,0.160570,-0.011323,-0.097899,-0.670614,111.500000
24,-0.222498,-0.295022,-0.230143,0.146608,0.167552,-0.012333,-0.107295,-0.729595,112.000000
25,-0.223548,-0.299097,-0.230890,0.152716,0.174533,-0.013387,-0.117212,-0.790980,112.500000
26,-0.224633,-0.303195,-0.231622,0.158825,0.181514,-0.014484,-0.127664,-0.854757,113.000000
27,-0.225753,-0.307316,-0.232342,0.164934,0.188496,-0.015626,-0.138667,-0.920912,113.500000
28,-0.226907,-0.311457,-0.233049,0.171042,0.195477,-0.016811,-0.150236,-0.989430,114.000000
29,-0.228097,-0.315619,-0.233742,0.177151,0.202458,-0.018041,-0.162390,-1.060297,114.500000
30,-0.229321,-0.319799,-0.234424,0.183260,0.209440,-0.019315,-0.175144,-1.133496,115.000000
31,-0.230581,-0.323998,-0.235093,0.189368,0.216421,-0.020633,-0.188516,-1.209011,115.500000
32,-0.231876,-0.328213,-0.235751,0.195477,0.223402,-0.021995,-0.202525,-1.286827,116.000000
33,-0.233207,-0.332445,-0.236398,0.201586,0.230383,-0.023402,-0.217189,-1.366925,116.500000
34,-0.234574,-0.336692,-0.237033,0.207694,0.237365,-0.024854,-0.232528,-1.449288,117.000000
35,-0.235977,-0.340953,-0.237658,0.213803,0.244346,-0.026351,-0.248562,-1.533896,117.500000
36,-0.237417,-0.345228,-0.238272,0.219911,0.251327,-0.027892,-0.265311,-1.620732,118.000000
37,-0.238893,-0.349515,-0.238876,0.226020,0.258309,-0.029478,-0.282795,-1.709775,118.500000
38,-0.240406,-0.353814,-0.239470,0.232129,0.265290,-0.031110,-0.301037,-1.801004,119.000000
39,-0.241956,-0.358123,-0.240055,0.238237,0.272271,-0.032787,-0.320058,-1.894400,119.500000
40,-0.243544,-0.362443,-0.240631,0.244346,0.279253,-0.034509,-0.339881,-1.989939,120.000000
41,-0.245169,-0.366771,-0.241198,0.250455,0.286234,-0.036277,-0.360528,-2.087601,120.500000
42,-0.246832,-0.371108,-0.241756,0.256563,0.293215,-0.038091,-0.382023,-2.187362,121.000000
43,-0.248534,-0.375453,-0.242306,0.262672,0.300197,-0.039950,-0.404389,-2.289199,121.500000
44,-0.250273,-0.379804,-0.242849,0.268781,0.307178,-0.041856,-0.427652,-2.393087,122.000000
45,-0.252051,-0.384160,-0.243384,0.274889,0.314159,-0.043807,-0.451835,-2.499001,122.500000
46,-0.253868,-0.388522,-0.243911,0.280998,0.321141,-0.045806,-0.476964,-2.606917,123.000000
47,-0.255725,-0.392888,-0.244432,0.287107,0.328122,-0.047850,-0.503065,-2.716809,123.500000
48,-0.257620,-0.397257,-0.244947,0.293215,0.335103,-0.049942,-0.530164,-2.828648,124.000000
49,-0.259555,-0.401629,-0.245455,0.299324,0.342085,-0.052080,-0.558286,-2.942408,124.500000
50,-0.261531,-0.406003,-0.245957,0.305433,0.349066,-0.054265,-0.587460,-3.058062,125.000000
51,-0.263546,-0.410378,-0.246454,0.311541,0.356047,-0.056498,-0.617712,-3.175579,125.500000
52,-0.265602,-0.414753,-0.246945,0.317650,0.363028,-0.058778,-0.649070,-3.294930,126.000000
53,-0.267698,-0.419128,-0.247432,0.323759,0.370010,-0.061106,-0.681562,-3.416086,126.500000
54,-0.269836,-0.423501,-0.247914,0.329867,0.376991,-0.063481,-0.715216,-3.539015,127.000000
55,-0.272015,-0.427873,-0.248392,0.335976,0.383972,-0.065905,-0.750062,-3.663686,127.500000
56,-0.274235,-0.432242,-0.248866,0.342085,0.390954,-0.068376,-0.786128,-3.790065,128.000000
57,-0.276497,-0.436607,-0.249336,0.348193,0.397935,-0.070896,-0.823444,-3.918122,128.500000
58,-0.278801,-0.440969,-0.249804,0.354302,0.404916,-0.073465,-0.862039,-4.047820,129.000000
59,-0.281147,-0.445325,-0.250268,0.360410,0.411898,-0.076083,-0.901944,-4.179127,129.500000
60,-0.283536,-0.449676,-0.250731,0.366519,0.418879,-0.078749,-0.943189,-4.312006,130.000000
61,-0.285968,-0.454020,-0.251191,0.372628,0.425860,-0.081465,-0.985804,-4.446422,130.500000
62,-0.288442,-0.458357,-0.251649,0.378736,0.432842,-0.084231,-1.029821,-4.582337,131.000000
63,-0.290960,-0.462687,-0.252106,0.384845,0.439823,-0.087046,-1.075270,-4.719715,131.500000
64,-0.293522,-0.467008,-0.252562,0.390954,0.446804,-0.089911,-1.122183,-4.858517,132.000000
65,-0.296127,-0.471319,-0.253017,0.397062,0.453786,-0.092826,-1.170591,-4.998703,132.500000
66,-0.298776,-0.475621,-0.253472,0.403171,0.460767,-0.095792,-1.220527,-5.140234,133.000000
67,-0.301470,-0.479912,-0.253928,0.409280,0.467748,-0.098808,-1.272021,-5.283070,133.500000
68,-0.304208,-0.484191,-0.254383,0.415388,0.474730,-0.101875,-1.325107,-5.427168,134.000000
69,-0.306990,-0.488458,-0.254840,0.421497,0.481711,-0.104994,-1.379816,-5.572487,134.500000
70,-0.309817,-0.492713,-0.255298,0.427606,0.488692,-0.108163,-1.436182,-5.718983,135.000000
71,-0.312690,-0.496954,-0.255757,0.433714,0.495674,-0.111385,-1.494235,-5.866612,135.500000
72,-0.315608,-0.501180,-0.256219,0.439823,0.502655,-0.114658,-1.554010,-6.015330,136.000000
73,-0.318571,-0.505392,-0.256682,0.445932,0.509636,-0.117983,-1.615538,-6.165090,136.500000
74,-0.321579,-0.509588,-0.257149,0.452040,0.516617,-0.121361,-1.678853,-6.315847,137.000000
75,-0.324634,-0.513767,-0.257619,0.458149,0.523599,-0.124792,-1.743986,-6.467554,137.500000
76,-0.327734,-0.517929,-0.258092,0.464258,0.530580,-0.128275,-1.810972,-6.620161,138.000000
77,-0.330881,-0.522074,-0.258570,0.470366,0.537561,-0.131812,-1.879843,-6.773621,138.500000
78,-0.334074,-0.526199,-0.259052,0.476475,0.544543,-0.135402,-1.950631,-6.927882,139.000000
79,-0.337313,-0.530306,-0.259539,0.482584,0.551524,-0.139046,-2.023369,-7.082895,139.500000
80,-0.340598,-0.534393,-0.260031,0.488692,0.558505,-0.142744,-2.098090,-7.238608,140.000000
81,-0.343931,-0.538458,-0.260529,0.494801,0.565487,-0.146497,-2.174826,-7.394968,140.500000
