iterations,theta_1,theta_2,theta_3,phi_1,phi_2,phi_3,p_x,p_y,p_z
0,0.075374,0.075374,0.075374,-0.000000,0.000000,0.000000,0.000000,-0.000000,30.000000
1,0.073236,0.070726,0.066708,-0.005236,0.006981,0.000018,-0.000320,0.001097,30.700000
2,0.071012,0.066266,0.058287,-0.010472,0.013963,0.000073,-0.001280,0.004386,31.400000
3,0.068702,0.061983,0.050085,-0.015708,0.020944,0.000165,-0.002880,0.009868,32.100000
4,0.066309,0.057866,0.042082,-0.020944,0.027925,0.000292,-0.005122,0.017541,32.800000
5,0.063835,0.053906,0.034257,-0.026180,0.034907,0.000457,-0.008007,0.027403,33.500000
6,0.061281,0.050094,0.026594,-0.031416,0.041888,0.000658,-0.011538,0.039453,34.200000
7,0.058650,0.046421,0.019080,-0.036652,0.048869,0.000896,-0.015716,0.053687,34.900000
8,0.055943,0.042880,0.011700,-0.041888,0.055851,0.001170,-0.020544,0.070103,35.600000
9,0.053161,0.039464,0.004445,-0.047124,0.062832,0.001481,-0.026026,0.088697,36.300000
10,0.050306,0.036166,-0.002696,-0.052360,0.069813,0.001829,-0.032165,0.109465,37.000000
11,0.047380,0.032980,-0.009732,-0.057596,0.076794,0.002213,-0.038965,0.132402,37.700000
12,0.044384,0.029900,-0.016670,-0.062832,0.083776,0.002634,-0.046431,0.157503,38.400000
13,0.041318,0.026921,-0.023519,-0.068068,0.090757,0.003092,-0.054568,0.184764,39.100000
14,0.038186,0.024037,-0.030283,-0.073304,0.097738,0.003587,-0.063381,0.214178,39.800000
15,0.034987,0.021243,-0.036969,-0.078540,0.104720,0.004118,-0.072876,0.245738,40.500000
16,0.031723,0.018536,-0.043581,-0.083776,0.111701,0.004687,-0.083059,0.279438,41.200000
17,0.028395,0.015910,-0.050125,-0.089012,0.118682,0.005292,-0.093936,0.315270,41.900000
18,0.025004,0.013362,-0.056604,-0.094248,0.125664,0.005934,-0.105516,0.353227,42.600000
19,0.021551,0.010888,-0.063023,-0.099484,0.132645,0.006613,-0.117804,0.393300,43.300000
20,0.018037,0.008484,-0.069384,-0.104720,0.139626,0.007329,-0.130810,0.435479,44.000000
21,0.014463,0.006147,-0.075690,-0.109956,0.146608,0.008083,-0.144541,0.479757,44.700000
22,0.010831,0.003874,-0.081946,-0.115192,0.153589,0.008873,-0.159006,0.526123,45.400000
23,0.007140,0.001662,-0.088152,-0.120428,0.160570,0.009701,-0.174214,0.574566,46.100000
24,0.003393,-0.000493,-0.094311,-0.125664,0.167552,0.010566,-0.190175,0.625076,46.800000
25,-0.000411,-0.002592,-0.100426,-0.130900,0.174533,0.011468,-0.206898,0.677641,47.500000
26,-0.004271,-0.004639,-0.106498,-0.136136,0.181514,0.012408,-0.224394,0.732250,48.200000
27,-0.008185,-0.006636,-0.112529,-0.141372,0.188496,0.013386,-0.242673,0.788890,48.900000
28,-0.012153,-0.008585,-0.118520,-0.146608,0.195477,0.014401,-0.261747,0.847549,49.600000
29,-0.016175,-0.010489,-0.124474,-0.151844,0.202458,0.015453,-0.281627,0.908213,50.300000
30,-0.020248,-0.012349,-0.130391,-0.157080,0.209440,0.016543,-0.302324,0.970868,51.000000
31,-0.024374,-0.014168,-0.136272,-0.162316,0.216421,0.017671,-0.323852,1.035501,51.700000
32,-0.028551,-0.015948,-0.142119,-0.167552,0.223402,0.018837,-0.346221,1.102095,52.400000
33,-0.032777,-0.017691,-0.147933,-0.172788,0.230383,0.020041,-0.369447,1.170636,53.100000
34,-0.037054,-0.019397,-0.153714,-0.178024,0.237365,0.021283,-0.393540,1.241108,53.800000
35,-0.041380,-0.021070,-0.159464,-0.183260,0.244346,0.022564,-0.418517,1.313495,54.500000
36,-0.045754,-0.022711,-0.165183,-0.188496,0.251327,0.023882,-0.444389,1.387779,55.200000
37,-0.050176,-0.024321,-0.170871,-0.193732,0.258309,0.025239,-0.471173,1.463943,55.900000
38,-0.054645,-0.025902,-0.176530,-0.198968,0.265290,0.026634,-0.498882,1.541970,56.600000
